komentar,kantor,letak,rating,sentimen,komentar_clean
"bintang kalau bisa mah.saya mau kirim western union, sudah menunjukan id ktp saya, dan karena td e-ktp saya menurut mereka kurang mirip sempat tidak mau diproses padahal sudah melakukan scan finger print saya dan sesuai dg id e-ktp saya, menyamakan pasport saya dan semua buku tabungan lainya, tapi tetap ngotot harus persis sama seperti e-ktp. apa gunanya data e-ktp kalau cm dg penyaman td saja verifikasinya, kan mundur ke jaman batu namanya. lelah sm kebodohan ini! dan tidak ada sih diantara mereka yang punya degre atau minimal sertifikasi deh to verified td. jadi sebnrnya pendapat mereka juga tidak valid goresan td saya mirip atau tidak. memang mindsetnya hoby saja mempersulit hal-hal yang bisa dibuat praktis. inalilahi wa inalilahi rodjiun ya mba customer service a.n dinda dan orang lainya yang mempersulit hari saya sat itu tanpa alasan. beyond kecewa dg pelayananya. tidak akan kesitu lagi.",KC Fatmawati,Kota Jakarta Selatan,1,negatif,"bintang mah.saya kirim western union, menunjukan id ktp saya, td e-ktp diproses scan finger print sesuai dg id e-ktp saya, menyamakan pasport buku tabungan lainya, ngotot persis e-ktp. gunanya data e-ktp cm dg penyaman td verifikasinya, mundur jaman batu namanya. lelah sm kebodohan ini! sih degre minimal sertifikasi deh verified td. sebnrnya pendapat valid goresan td tidak. mindsetnya hoby mempersulit hal-hal praktis. inalilahi wa inalilahi rodjiun ya mba customer service a.n dinda orang lainya mempersulit sat alasan. beyond kecewa dg pelayananya. kesitu lagi."
"tidak menerima pelayanan western union.padahal di situ ada tulisan merima pelayanan westren union. satpam mengatakan bahwa sistem rusak dan saya tanya sejak kapan dan sampai.kapan.jawabanya mereka tidak tau. sangat mengecewakan karwna saya sdh jauh jauh ke may bank untuk melakukan transaksi westren union , yapo kenyatamya tidaknbisa diterima",KC Fatmawati,Kota Jakarta Selatan,1,negatif,"menerima pelayanan western union.padahal situ tulisan merima pelayanan westren union. satpam sistem rusak sampai.kapan.jawabanya tau. mengecewakan karwna sdh may bank transaksi westren union , yapo kenyatamya tidaknbisa diterima"
"buka rekening lewat online gagal disuruh dateng ke cs, dateng ke bank untuk minta bantuan customer service ditolak disuruh nunggu besok daftar online apa gunanya customer service ?",KC Jatinegara,Kota Jakarta Timur,1,negatif,"buka rekening online gagal disuruh dateng cs, dateng bank bantuan customer service ditolak disuruh nunggu besok daftar online gunanya customer service ?"
lama banget prosesnya,KC Jatinegara,Kota Jakarta Timur,1,negatif,banget prosesnya
"lama bgt, disuruh bolak balik beli materai kl di bank lain bisa langsung diproses dari bank jadi tidak memperlambat proses pembuatan rekening baru. semoga bisa di kembangkan lg ya servicenya contoh bca",KC Jatinegara,Kota Jakarta Timur,1,negatif,"bgt, disuruh bolak beli materai kl bank langsung diproses bank memperlambat proses pembuatan rekening baru. semoga kembangkan lg ya servicenya contoh bca"
pelayanan buruk,KC Jatinegara,Kota Jakarta Timur,1,negatif,pelayanan buruk
"very bad service the employes not care at al , we ben waiting one hour in the bank, and no any other client, just wasting tim",KC Jatinegara,Kota Jakarta Timur,1,negatif,"bad service employes care al , ben waiting one hour bank, client, wasting tim"
"gak jelas satpamnya. tidak informatif, malah saya yang disuruh nanya ke teler.",KC Jatinegara,Kota Jakarta Timur,1,negatif,"gak satpamnya. informatif, disuruh nanya teler."
layanan bank tidak jls saya tf dari maybank ke bca suruh ke bca trus dari bca gada dana msk dari mybank saya balik lagi dari mybank suruh nunggu paling lama hari sudah duit gajian lelet bank lain paling lama x jam ini satu abad sndiri kalau tidak dari kerjan suruh make mybank ogah make mending bca cepet tidak ribet,KC Jatinegara,Kota Jakarta Timur,1,negatif,layanan bank jls tf maybank bca suruh bca trus bca gada dana msk mybank mybank suruh nunggu duit gajian lelet bank x jam abad sndiri kerjan suruh make mybank ogah make mending bca cepet ribet
customer service and teler is very slow and not helpful.,KC Jatinegara,Kota Jakarta Timur,1,negatif,customer service teler slow helpful.
mau minta print rekening koran saja dimintain data pribadi di foto segala macam seperti mau pengajuan kredit sdh gitu csnya sombong gak ada ramahnya lelet suara gak jelas mungkin belum sarapan alasan update data pribadi saya dr dlu belum berubah sdh tahunan buka rekening di maybank dulu bi ya. tmp kerja dr dlu juga gak pernah pindah orang tua saya msh tetap belum ganti msh sama,KC Jatinegara,Kota Jakarta Timur,1,negatif,print rekening koran dimintain data pribadi foto pengajuan kredit sdh gitu csnya sombong gak ramahnya lelet suara gak sarapan alasan update data pribadi dr dlu berubah sdh tahunan buka rekening maybank bi ya. tmp kerja dr dlu gak pindah orang tua msh ganti msh
"rutin tiap bulan kesini, baru kali ini dapet teler tidak ramah. fyi kondisi lg sepi ya cuma saya aja didalem bank. mbaknya pakai kemeja putih dan berhijab, syg tidak pakai name tag jadi tidak bs mention namanya. waktu kunjungan / jam . semoga mbaknya emg lagi pms ya bukan karna liat customer dari apearance. semoga bs ditingkatkan kembali untuk pelayananya.",KC Jatinegara,Kota Jakarta Timur,2,negatif,"rutin kesini, kali dapet teler ramah. fyi kondisi lg sepi ya aja didalem bank. mbaknya pakai kemeja putih berhijab, syg pakai name tag bs mention namanya. kunjungan / jam . semoga mbaknya emg pms ya karna liat customer apearance. semoga bs ditingkatkan pelayananya."
pelayananya gak banget deh gak teliti sudah kali bolak balik kesini bener kecewa gak akan lagi pake maybank,KC Jatinegara,Kota Jakarta Timur,1,negatif,pelayananya gak banget deh gak teliti kali bolak kesini bener kecewa gak pake maybank
pelayanan lelet acara serambi nuker uang teler yang di buka cuma teler yang lain pada ngobrol² bikin tambah lelet padahal teler ada orang,KC Kelapa Gading,Kota Jakarta Utara,1,negatif,pelayanan lelet acara serambi nuker uang teler buka teler ngobrol² bikin lelet teler orang
"rencana mau masuk prionya maybank karena ini pertama kali banget ke maybank karena selalu ke prio bank yang cape antri terus, saya dtg ke kantornya yang menurut saya cukup besar kantornya dan strategis di pingir jalan utama. pertama ambil antrian, jam ., lihat ada meja cs, semua ada di meja semua. lalu ada meja customer service yang ada nasabah. akhirnya saya tungu saja. sampai mt tidak ada pemangilan, akhirnya saya balik ke rumah. saya berpikir, utk handle org dg customer service saja waktu mt kurang. apalagi jika saya masuk jadi nasabah sana. bisa menambah beban para cs. jadinya saya merasa kasihan akan beban kerja yang beratnya para customer service karena nasabah mt tidak beres dan saya tidak mau menambah beban lagi ke mereka. akhirnya saya pulang dengan lega karena sudah membantu meringankan beban para pekerja csnya.",KC Kelapa Gading,Kota Jakarta Utara,1,negatif,"rencana masuk prionya maybank kali banget maybank prio bank cape antri terus, dtg kantornya kantornya strategis pingir jalan utama. ambil antrian, jam ., lihat meja cs, meja semua. meja customer service nasabah. tungu saja. mt pemangilan, rumah. berpikir, utk handle org dg customer service mt kurang. masuk nasabah sana. menambah beban cs. kasihan beban kerja beratnya customer service nasabah mt beres menambah beban mereka. pulang lega membantu meringankan beban pekerja csnya."
"dificult to cal via phone to this number . bad rm staf, dificult to contact them. not even to answer and reply the text! bad service as a rm (herlina verawati)",KC Kelapa Gading,Kota Jakarta Utara,1,negatif,"dificult cal via phone number . bad rm staf, dificult contact them. even answer reply text! bad service rm (herlina verawati)"
"nobody to pick up when you cal the the customer service . the relationship manager is serving you only when influencing you to buy their product, after you buy it, then dificult to reach them. rm's name is herlina verawati! she wil not to answer your cal at al!",KC Kelapa Gading,Kota Jakarta Utara,1,negatif,"nobody pick cal customer service . relationship manager serving influencing buy product, buy it, dificult reach them. rm's name herlina verawati! wil answer cal al!"
"datang untuk kirim uang melalui western union, tapi sedang ada ganguan komputer. tanya apakah cabang maybank lainya juga bermasalah, dijawab tidak tahu. ketika diminta tolong untuk konfirmasi ke cabang maybank lainya, dijawab petugas sedang sibuk. tidak ada waktu untuk telp untuk tanya. tepat terlihat sepi tidak banyak kegiatan",KC Kelapa Gading,Kota Jakarta Utara,1,negatif,"kirim uang western union, ganguan komputer. cabang maybank lainya bermasalah, tahu. tolong konfirmasi cabang maybank lainya, petugas sibuk. telp tanya. sepi kegiatan"
"transaksi rtgs dari jam sampai jam belum selesai,cs hrsnya bisa lebih multitasking untuk calback sambil melayani nasabah antrian cs,ga mungkin saya nunggu calback sampai antrian customer service habis",KC Kelapa Gading,Kota Jakarta Utara,1,negatif,"transaksi rtgs jam jam selesai,cs hrsnya multitasking calback melayani nasabah antrian cs,ga nunggu calback antrian customer service habis"
"kesel banget saya kemaren menemani atasan saya buat buka rekening di bank ini, sudah dikasih nomor antrian & kami menungu cukup lama, tiba-tiba yang harusnya giliran kami malah orang lain yang di dahulukan, ketika di tanya ""mohon maf itu nasabah premium"", jadi sudah duluan mengangap remeh kami yang sudah antri untuk buka rekening disana.mending buka rekening di bank yang sudah profesional aja kalau begini",KC Kelapa Gading,Kota Jakarta Utara,1,negatif,"kesel banget kemaren menemani atasan buka rekening bank ini, dikasih nomor antrian & menungu lama, giliran orang dahulukan, ""mohon maf nasabah premium"", duluan mengangap remeh antri buka rekening disana.mending buka rekening bank profesional aja"
"pelayanan sangat buruk, saya sdh dikasih no antrian ke customer service dan menungu mnt, tiba di selak oleh orang lain yang di bantu sm pegawai banknya, saya tanya alasanya nasabah premium, ini pengalaman pertama saya mau buka rekening di bank ini sudah di diskriminasi begini, sudah ngangep sebelah mata kpd saya. sekalian aja bilang hanya utk nasabah premium. saya dg tersingung lgsg meningalkan bank yang tidak jelas ini. kalau nasabah prioritas buat donk ruangan sendiri jangan malah ngerugin calon nasabah yang kalian angap sebelah mata ini. waktu saya juga sudah rugi ngantri menit di bank yang sepi gitu juga",KC Kelapa Gading,Kota Jakarta Utara,1,negatif,"pelayanan buruk, sdh dikasih antrian customer service menungu mnt, selak orang bantu sm pegawai banknya, alasanya nasabah premium, pengalaman buka rekening bank diskriminasi begini, ngangep sebelah mata kpd saya. aja bilang utk nasabah premium. dg tersingung lgsg meningalkan bank ini. nasabah prioritas donk ruangan ngerugin calon nasabah angap sebelah mata ini. rugi ngantri menit bank sepi gitu"
lama pelayananya dapat nomer antrian yang dipangil no sampai hampir setengah jam blom belom juga nomer dipangil padahal telernya ada,KC Kelapa Gading,Kota Jakarta Utara,2,negatif,pelayananya nomer antrian dipangil jam blom belom nomer dipangil telernya
"pelayanan sangat buruk di bank ini, beda dengan maybank cabang lain. di sini, penutupan rekening dipersulit, untuk menutup rekening sampai buang waktu saya jam. saya tidak menyalahkan csnya, csnya ramah dan sopan, atasanya yang mempersulit penutupan rekening. sikap dan atitude mereka sangat sombong dan mencari sesuatu utk mempersulit.sy dari dulu pake maybank, ke cabang lain tidak pernah punya masalah seperti yang mereka cari di cabang ini. waste of my time ! gambar di sini saja bukan gambar maybank pluit kencana.",KC Pluit,Kota Jakarta Pusat,1,negatif,"pelayanan buruk bank ini, beda maybank cabang lain. sini, penutupan rekening dipersulit, menutup rekening buang jam. menyalahkan csnya, csnya ramah sopan, atasanya mempersulit penutupan rekening. sikap atitude sombong mencari utk mempersulit.sy pake maybank, cabang cari cabang ini. waste time ! gambar gambar maybank pluit kencana."
"hampir jam disuruh tungu padahl kosong csnya tidak ditempat, dan orangnya sangat cuek untuk customer komplen, sangat buruk pelayanan di kcp puri indah",KC Puri Kencana,Kota Jakarta Barat,1,negatif,"jam disuruh tungu padahl kosong csnya ditempat, orangnya cuek customer komplen, buruk pelayanan kcp puri indah"
"lama banget kerjanya dan semua karyawan, security sampai branch managernya pun cuek bebek liat customer nunggu lama.",KC Puri Kencana,Kota Jakarta Barat,1,negatif,"banget kerjanya karyawan, security branch managernya cuek bebek liat customer nunggu lama."
"perbaiki titik mapsnya bikin org yang belum pernah kesini jadi salah jalan, kalau sudah baru saya naikan bintangnya",KC Puri Kencana,Kota Jakarta Barat,1,negatif,"perbaiki titik mapsnya bikin org kesini salah jalan, naikan bintangnya"
maf sekali tapi tolong ditingkatkan ya pelayananya jangan berbelit. ganti kartu atm aja butuh menit itupun harus saya tanya dlu sudah atau belum,KC Puri Kencana,Kota Jakarta Barat,2,negatif,maf tolong ditingkatkan ya pelayananya berbelit. ganti kartu atm aja butuh menit itupun dlu
"ada nomor telp juga percuma, cuma ada pilihan tekan extension atau operator. dan selalu operator tidak menjawab, lalu telp mati. gak udah ada telp kalau kenyatanya telp gak pernah diangkat",KC Puri Kencana,Kota Jakarta Barat,1,negatif,"nomor telp percuma, pilihan tekan extension operator. operator menjawab, telp mati. gak udah telp kenyatanya telp gak diangkat"
pelayananya lama.! proses bisa sampai jam lbh.pdhl nasabah cm saya aja.! hadeh profesional kerjanya,KC Puri Kencana,Kota Jakarta Barat,1,negatif,pelayananya lama.! proses jam lbh.pdhl nasabah cm aja.! hadeh profesional kerjanya
"untuk transaksi non tunai, atau mengunakan cek, hm lamanya minta ampun, bisa memakan waktu jam lebih, pdhl kondisi juga gak terlalu ramai",KC Puri Kencana,Kota Jakarta Barat,1,negatif,"transaksi non tunai, mengunakan cek, hm ampun, memakan jam lebih, pdhl kondisi gak ramai"
pelayanan lelet. tidak memuaskan,KC Roxy Mas,Kota Jakarta Pusat,1,negatif,pelayanan lelet. memuaskan
"telp yang terdaftar tidak ada yang angkat, padahal penting perlu cal maybank cabang ini.bagaimana cara hubungi cabang ini kalau tidak bisa di telp ya.",KC Roxy Mas,Kota Jakarta Pusat,2,negatif,"telp terdaftar angkat, cal maybank cabang ini.bagaimana hubungi cabang telp ya."
"tolong di perbaiki lagi kinerja csnya. saya sudah mingu pengajuan buku cek. awalnya di janjikan bisa. tapi setelah mingu, bilangnya belum juga jadi, karena alasan berbelit. kalau memang gabisa atau persyaratanya sulit jangan bilang gabisa. biar saya ajukan di kc yang lain.",KC Roxy Mas,Kota Jakarta Pusat,1,negatif,"tolong perbaiki kinerja csnya. mingu pengajuan buku cek. janjikan bisa. mingu, bilangnya jadi, alasan berbelit. gabisa persyaratanya sulit bilang gabisa. biar ajukan kc lain."
"payah transaksi pembayaran saja menghabiskan waktu menit , konfirmasi sampai x, padahal banknya ada nama, tapi pekerjanya slow semua membuat nasabah habis waktu karena menungu proses dan konfirmasi bukan karena antri, kalau banyak nasabah masih oke, ini nasabah gak banyak kerjanya slow gak tau yang dikerjain apa sampai nasabah menungu lama, ternyata info dari kurir juga kerjanya lama, setiap transaksi di maybank selalu di tingal nanti baru balik lg ambil slipnya top banget dah pekerjanya",KC Roxy Mas,Kota Jakarta Pusat,1,negatif,"payah transaksi pembayaran menghabiskan menit , konfirmasi x, banknya nama, pekerjanya slow nasabah habis menungu proses konfirmasi antri, nasabah oke, nasabah gak kerjanya slow gak tau dikerjain nasabah menungu lama, info kurir kerjanya lama, transaksi maybank tingal lg ambil slipnya top banget dah pekerjanya"
"very bad experience, tidak ada keramahan dan service gesture dr customer service",KC Summit Mas,Kota Jakarta Selatan,1,negatif,"bad experience, keramahan service gesture dr customer service"
"mau tutup rekening sangat sulit, setiap ketemu customer service yang berbeda, syaratnya beda juga, gitu aja terus berulang-ulang. mau tutup rekening mesti pengkinian data dan mesti bayar juga",KC Summit Mas,Kota Jakarta Selatan,1,negatif,"tutup rekening sulit, ketemu customer service berbeda, syaratnya beda juga, gitu aja berulang-ulang. tutup rekening mesti pengkinian data mesti bayar"
"baru kali ini nemu perbankan jelek bener pelayanan. mau ganti kartu atm expired, gak bisa karena belum update data. harus ke cabang buka. hari ini data gak bisa ngelink apa? berikutnya ditelp katanya sudah di update. dateng kedua kali, dan ternyata. jam gak cukup buat ganti kartu atm yang expired. ujungnya saya tingal. karena sudah jam kantor. gak lama di telp. katanya dah beres kartunya. buang buang waktu. serius. pikir lg kl mau kesini.",KC Summit Mas,Kota Jakarta Selatan,1,negatif,"kali nemu perbankan jelek bener pelayanan. ganti kartu atm expired, gak update data. cabang buka. data gak ngelink apa? ditelp update. dateng kali, ternyata. jam gak ganti kartu atm expired. ujungnya tingal. jam kantor. gak telp. dah beres kartunya. buang buang waktu. serius. pikir lg kl kesini."
"pelayananya ramah tapi sayangnya informasi yang diberikan ternyata ada yang tidak lengkap/tidak sesuai. dapat info utk prosedur tertentu perlu menyediakan a b c d, tapi ternyata yang d tidak bisa dilakukan dan harus ada dokumen tambahan mengecewakan",KC Summit Mas,Kota Jakarta Selatan,2,negatif,"pelayananya ramah sayangnya informasi lengkap/tidak sesuai. info utk prosedur menyediakan b c d, dokumen tambahan mengecewakan"
"mohon untuk kedepanya ada pemberitahuan di awal apabila ada perubahan sop, peraturan baru,dl. selama ini yang saya tahu kalau mau tarik tunai rupiah, tidak ada konfirmasi via telepon ke atasan/penandatanganan (untuk rekening perusahan). dan saya baru diberitahu di hari h penarikan tunai. mohon untuk ditingkatkan lagi agar tidak ada miskomunikasi untuk kedepanya. terima kasih.",KC Summit Mas,Kota Jakarta Selatan,2,negatif,"mohon kedepanya pemberitahuan perubahan sop, peraturan baru,dl. tarik tunai rupiah, konfirmasi via telepon atasan/penandatanganan (untuk rekening perusahan). diberitahu h penarikan tunai. mohon ditingkatkan miskomunikasi kedepanya. terima kasih."
"it sems like this bank is already wel-known for its slow service. it tok me up to hours just to open an acount—if it weren’t for payrol, i wouldn’t have bothered. even printing a bank statement tok hours, despite the branch not being crowded. they do have customer service staf, but i have no idea what they’re doing—probably just hanging around. on top of that, ever since i opened an acount here, i’ve ben geting spam almost every day—through phone cals, sms, whatsap—even after complaining twice! how is that even posible? thankfuly, they’re no longer handling my payrol. i’d close my acount, but i can’t be bothered since it would probably take forever and just be a waste of time.",KC Thamrin,Kota Jakarta Pusat,1,negatif,"sems like bank already wel-known slow service. tok hours open acount—if weren’t payrol, wouldn’t bothered. even printing bank statement tok hours, despite branch crowded. customer service staf, idea they’re doing—probably hanging around. top that, ever since opened acount here, i’ve ben geting spam almost every day—through phone cals, sms, whatsap—even complaining twice! even posible? thankfuly, they’re longer handling payrol. i’d close acount, can’t bothered since would probably take forever waste time."
